data = [
0.000000 0.000000 -128 0
-0.000001 0.000103 1368 21468
-0.000005 0.000207 5440 -23536
-0.000012 0.000312 12248 -4992
-0.000021 0.000421 21968 10516
-0.000033 0.000533 -13760 -13948
-0.000048 0.000651 -21396 -13184
-0.000067 0.000775 24468 22828
-0.000089 0.000908 29704 16612
-0.000117 0.001051 -832 28904
-0.000149 0.001206 -900 10024
-0.000187 0.001378 -16180 17924
-0.000233 0.001569 -14448 -31640
-0.000287 0.001785 -17632 6016
-0.000353 0.002032 -17368 1468
-0.000432 0.002321 -30892 -20240
-0.000530 0.002664 -25876 -17240
-0.000652 0.003080 1180 9172
-0.000808 0.003599 -1976 16908
-0.001014 0.004269 -4540 -872
-0.001295 0.005169 -18956 24952
-0.001701 0.006453 15140 -28324
-0.002335 0.008438 22096 27108
-0.003461 0.011935 -5296 23884
-0.006001 0.019782 -7500 29332
-0.017022 0.053730 1356 26320
0.027082 -0.081978 -13904 24392
0.008186 -0.023795 17400 28252
0.005040 -0.014086 -1412 -4384
0.003747 -0.010079 -8768 -224
0.003043 -0.007888 -6064 1984
0.002601 -0.006503 6224 -1572
0.002298 -0.005547 -20460 5172
0.002077 -0.004846 26524 2736
0.001910 -0.004310 -23720 17484
0.001779 -0.003884 -8056 16304
0.001674 -0.003539 9168 8008
0.001587 -0.003252 -536 -1676
0.001515 -0.003010 -21080 10364
0.001454 -0.002803 23244 -19416
0.001402 -0.002623 10412 -12476
0.001357 -0.002465 -21184 30432
0.001317 -0.002325 6852 14124
0.001282 -0.002200 -14084 -4824
0.001252 -0.002088 -23228 -17584
0.001224 -0.001987 20424 1824
0.001200 -0.001895 -18856 4544
0.001178 -0.001810 -588 2220
0.001158 -0.001733 13980 7624
0.001139 -0.001661 -26324 10852
0.001123 -0.001594 12308 -11056
0.001108 -0.001533 -22188 -6304
0.001094 -0.001475 4312 -27108
0.001081 -0.001421 -11140 -4908
0.001069 -0.001370 -3664 -2564
0.001058 -0.001322 -28172 -31184
0.001048 -0.001277 18352 -5232
0.001039 -0.001235 14772 -4320
0.001030 -0.001194 13036 -20260
0.001022 -0.001156 -4788 -18136
0.001014 -0.001119 19008 -8844
0.001007 -0.001084 -29336 21304
0.001000 -0.001051 5644 29820
0.000994 -0.001019 -14028 -20880
0.000988 -0.000988 32 -32
0.000983 -0.000959 6344 -31596
0.000977 -0.000931 12252 3772
0.000972 -0.000903 18112 -25800
0.000968 -0.000877 23716 11368
0.000963 -0.000852 -31760 22332
0.000959 -0.000827 23412 30568
0.000955 -0.000804 25112 12328
0.000952 -0.000781 -19124 -29416
0.000948 -0.000759 20584 -9528
0.000945 -0.000737 15456 -26236
0.000941 -0.000716 -32392 -9704
0.000938 -0.000696 -11740 -31540
0.000935 -0.000676 22568 -80
0.000933 -0.000657 20084 8784
0.000930 -0.000638 24232 -17956
0.000928 -0.000620 -23196 16944
0.000925 -0.000602 -31220 -3772
0.000923 -0.000584 13868 1264
0.000921 -0.000567 9220 -12520
0.000919 -0.000551 -21072 -11420
0.000917 -0.000534 14348 30084
0.000915 -0.000518 21488 -11884
0.000913 -0.000503 -2396 5344
0.000911 -0.000487 -20760 -2040
0.000910 -0.000472 -8852 4496
0.000908 -0.000457 -28972 13284
0.000907 -0.000443 -5276 21152
0.000905 -0.000428 13912 20012
0.000904 -0.000414 -12584 -32208
0.000903 -0.000400 -6260 17588
0.000901 -0.000386 -7972 25576
0.000900 -0.000373 20564 5340
0.000899 -0.000360 -5380 31416
0.000898 -0.000346 12600 26220
0.000897 -0.000333 -27256 -2744
0.000896 -0.000321 6000 16256
0.000895 -0.000308 10160 -11660
0.000894 -0.000295 26640 -13260
0.000893 -0.000283 -28004 264
0.000893 -0.000271 27252 16044
0.000892 -0.000259 -5472 28296
0.000891 -0.000247 -31132 -30164
0.000890 -0.000235 30236 -11176
0.000890 -0.000223 -12868 3736
0.000889 -0.000211 -28272 -28056
0.000889 -0.000200 -30104 15728
0.000888 -0.000188 -32076 9652
0.000888 -0.000177 -30364 -8048
0.000887 -0.000165 -6228 24964
0.000887 -0.000154 28864 29604
0.000886 -0.000143 -24804 18360
0.000886 -0.000131 -4268 -3856
0.000886 -0.000120 -26836 -28732
0.000885 -0.000109 32120 -19964
0.000885 -0.000098 11584 -10652
0.000885 -0.000087 -2348 12796
0.000885 -0.000076 -26116 -21816
0.000884 -0.000065 23448 -31320
0.000884 -0.000054 2880 9612
0.000884 -0.000043 5852 29768
0.000884 -0.000033 18160 25912
0.000884 -0.000022 -2576 24672
0.000884 -0.000011 -3024 -6140
0.000884 0.000000 -48 0
0.000884 0.000011 -26280 -11508
0.000884 0.000022 -26192 -23320
0.000884 0.000033 -26304 30696
0.000884 0.000043 -26424 19204
0.000884 0.000054 -11400 -8196
0.000884 0.000065 13300 6744
0.000885 0.000076 -29564 5604
0.000885 0.000087 -27200 -27468
0.000885 0.000098 -21368 -1936
0.000885 0.000109 -10964 4784
0.000886 0.000120 -13844 -20980
0.000886 0.000131 -28504 -9288
0.000886 0.000143 -16608 32672
0.000887 0.000154 -14840 -2412
0.000887 0.000165 -15396 -20736
0.000888 0.000177 -30364 8048
0.000888 0.000188 -19860 22980
0.000889 0.000200 12304 26204
0.000889 0.000211 -20028 -20152
0.000890 0.000223 -25860 31864
0.000890 0.000235 31564 9268
0.000891 0.000247 -31480 -2724
0.000892 0.000259 -32096 -5404
0.000893 0.000271 12372 17340
0.000893 0.000283 15460 -31016
0.000894 0.000295 6456 3864
0.000895 0.000308 15232 29660
0.000896 0.000321 13804 13480
0.000897 0.000333 -28848 -5232
0.000898 0.000346 -19784 16464
0.000899 0.000360 1952 -17532
0.000900 0.000373 20564 -5340
0.000901 0.000386 10156 22560
0.000903 0.000400 -25536 12564
0.000904 0.000414 31480 4432
0.000905 0.000428 -6392 22992
0.000907 0.000443 -26296 29172
0.000908 0.000457 -32600 -9156
0.000910 0.000472 19540 24960
0.000911 0.000487 11988 -12500
0.000913 0.000503 25440 10368
0.000915 0.000518 -17028 -20396
0.000917 0.000534 5348 -19456
0.000919 0.000551 -1620 9240
0.000921 0.000567 -28664 -6000
0.000923 0.000584 -15264 7512
0.000925 0.000602 4124 15924
0.000928 0.000620 -23196 -16944
0.000930 0.000638 940 8676
0.000933 0.000657 17716 -27416
0.000935 0.000676 -32108 8832
0.000938 0.000696 -22792 -27980
0.000941 0.000716 -21852 23180
0.000945 0.000737 2488 10212
0.000948 0.000759 14620 -8576
0.000952 0.000781 -12600 -31872
0.000955 0.000804 7372 -31032
0.000959 0.000827 27356 14132
0.000963 0.000852 4172 18144
0.000968 0.000877 17160 -14204
0.000972 0.000903 -216 18536
0.000977 0.000931 7180 28964
0.000983 0.000959 29708 -30416
0.000988 0.000988 32 32
0.000994 0.001019 -6600 -32620
0.001000 0.001051 -13564 -1252
0.001007 0.001084 -20904 28480
0.001014 0.001119 -28668 -8896
0.001022 0.001156 29496 -3804
0.001030 0.001194 940 -20304
0.001039 0.001235 -9488 13160
0.001048 0.001277 108 18912
0.001058 0.001322 27392 8992
0.001069 0.001370 14200 26964
0.001081 0.001421 3568 -15816
0.001094 0.001475 16612 4692
0.001108 0.001533 -28024 -19456
0.001123 0.001594 -2804 -4256
0.001139 0.001661 19160 2116
0.001158 0.001733 13980 -7624
0.001178 0.001810 -31828 1572
0.001200 0.001895 -24420 31272
0.001224 0.001987 14644 -13224
0.001252 0.002088 10176 -10356
0.001282 0.002200 29524 13084
0.001317 0.002325 -10424 -11636
0.001357 0.002465 -7492 4512
0.001402 0.002623 32400 216
0.001454 0.002803 5716 -5912
0.001515 0.003010 -27420 11404
0.001587 0.003252 -20700 -4184
0.001674 0.003539 11872 -25684
0.001779 0.003884 -19336 20256
0.001910 0.004310 -19092 15564
0.002077 0.004846 9108 -31048
0.002298 0.005547 -20460 -5172
0.002601 0.006503 12108 -14648
0.003043 0.007888 -16416 10180
0.003747 0.010079 -3704 -13480
0.005040 0.014086 29400 14856
0.008186 0.023795 27168 18436
0.027082 0.081978 -8288 -1692
-0.017022 -0.053730 -8924 -23344
-0.006001 -0.019782 32396 29620
-0.003461 -0.011935 30288 28472
-0.002335 -0.008438 -132 -13468
-0.001701 -0.006453 6084 30656
-0.001295 -0.005169 -17996 -30432
-0.001014 -0.004269 19472 -10664
-0.000808 -0.003599 -8976 16824
-0.000652 -0.003080 18252 2364
-0.000530 -0.002664 -25876 17240
-0.000432 -0.002321 2492 980
-0.000353 -0.002032 17816 22276
-0.000287 -0.001785 -4804 -15976
-0.000233 -0.001569 -15332 -4352
-0.000187 -0.001378 13252 30316
-0.000149 -0.001206 -13232 4156
-0.000117 -0.001051 12064 -612
-0.000089 -0.000908 -19916 -19868
-0.000067 -0.000775 -19820 -8880
-0.000048 -0.000651 23968 -29448
-0.000033 -0.000533 -16120 5324
-0.000021 -0.000421 14108 26624
-0.000012 -0.000312 28672 -15640
-0.000005 -0.000207 -648 -32272
-0.000001 -0.000103 29680 -20100
];
